name,location,city,P.O Box,Phone,Mobile,company_page_link,Logo url
,"<span itemprop=""streetAddress"">Mall of The Emirates</span>","City : Dubai,  UAE ",,Phone : 04-4098877Call,Phone : 04-4098877Call,,
,"<span itemprop=""streetAddress"">Al Manakh</span>","City : Sharjah,  UAE ",73116,Phone : 055-7700860Call,Phone : 055-7700860Call,,
,"<span itemprop=""streetAddress"">King Faisal Rd, Al Qasimiyah</span>","City : Sharjah,  UAE ",,Phone : 06-5756700Call,Phone : 06-5756700Call,,
,"<span itemprop=""streetAddress"">Jumeirah Fishing Harbour</span>","City : Dubai,  UAE ",,Phone : 04-3435225Call,Phone : 04-3435225Call,,
,"<span itemprop=""streetAddress"">Right Wing, Jumeirah Zabeel Saray, Palm Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-4530000Call,Phone : 04-4530000Call,,
,"<span itemprop=""streetAddress"">Beside KM Trading, Salam Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4488612Call,Phone : 02-4488612Call,,
,"<span itemprop=""streetAddress"">Khalidiya</span>","City : Abu Dhabi,  UAE ",37747,Phone : 02-6810099Call,Phone : 02-6810099Call,,
,"<span itemprop=""streetAddress"">Opp Adcb, Mana Rd, Rolla</span>","City : Sharjah,  UAE ",21677,Phone : 06-5325355Call,Phone : 06-5325355Call,,
,"<span itemprop=""streetAddress"">Baniyas Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8015400Call,Phone : 02-8015400Call,,
,"<span itemprop=""streetAddress"">Souk Madinat</span>","City : Dubai,  UAE ",,Phone : 04-3686505Call,Phone : 04-3686505Call,,
,"<span itemprop=""streetAddress"">Yas Viceroy, Yas Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6560760Call,Phone : 02-6560760Call,,
,"<span itemprop=""streetAddress"">Behind Commercial Bank Of Dubai, Khalidiya</span>","City : Abu Dhabi,  UAE ",37658,Phone : 02-6667763Call,Phone : 02-6667763Call,,
,"<span itemprop=""streetAddress"">Al Murjan Tower, Near Carrefour, Al Nahda</span>","City : Dubai,  UAE ",,Phone : 04-2578773Call,Phone : 04-2578773Call,,
,"<span itemprop=""streetAddress"">Salam St</span>","City : Abu Dhabi,  UAE ",126587,Phone : 02-6436088Call,Phone : 02-6436088Call,,
,"<span itemprop=""streetAddress"">King Abdul Aziz Street, Al Qasimia</span>","City : Sharjah,  UAE ",,Phone : 06-8859635Call,Phone : 06-8859635Call,,
,"<span itemprop=""streetAddress"">Jumeirah 4</span>","City : Dubai,  UAE ",,Phone : 04-3955722Call,Phone : 04-3955722Call,,
,"<span itemprop=""streetAddress"">Hili</span>","City : Al Ain,  UAE ",1676,Phone : 03-7845811Call,Phone : 03-7845811Call,,
,"<span itemprop=""streetAddress"">3rd Flr, Twin Towers, Baniyas Rd, Deira</span>","City : Dubai,  UAE ",42714,Phone : 04-2274446Call,Phone : 04-2274446Call,,
,"<span itemprop=""streetAddress"">Hor Al Anz</span>","City : Dubai,  UAE ",,Phone : 04-2621212Call,Phone : 04-2621212Call,,
,"<span itemprop=""streetAddress"">Umm Al Nar</span>","City : Abu Dhabi,  UAE ",8879,Phone : 02-5583738Call,Phone : 02-5583738Call,,
,"<span itemprop=""streetAddress"">Al Quoz</span>","City : Dubai,  UAE ",,Phone : 04-3388980Call,Phone : 04-3388980Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-4450949Call,Phone : 02-4450949Call,,
,"<span itemprop=""streetAddress"">Beach Road, Jumeirah 3</span>","City : Dubai,  UAE ",,Phone : 04-3942886Call,Phone : 04-3942886Call,,
,"<span itemprop=""streetAddress"">G Floor, Al Maktoum St, Dubai Corniche Hotel &amp; Residence, Al Maktoum St, Deira</span>","City : Dubai,  UAE ",181858,Phone : 04-2292983Call,Phone : 04-2292983Call,,
,"<span itemprop=""streetAddress"">Al Amri Bldg, Oud Metha Rd, Karama</span>","City : Dubai,  UAE ",30651,Phone : 04-3368999Call,Phone : 04-3368999Call,,
,"<span itemprop=""streetAddress"">Behind Eldorado Cinemas, Electra Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6770064Call,Phone : 02-6770064Call,,
,"<span itemprop=""streetAddress"">Al Nahda</span>","City : Sharjah,  UAE ",,Phone : 06-5363600Call,Phone : 06-5363600Call,,
,"<span itemprop=""streetAddress"">Emaar Business Park, The Greens</span>","City : Dubai,  UAE ",,Phone : 04-5588141Call,Phone : 04-5588141Call,,
,"<span itemprop=""streetAddress"">Eitihad Modern Art Galley, Al Bateen</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4182466Call,Phone : 02-4182466Call,,
,"<span itemprop=""streetAddress"">Al Falah St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4450909Call,Phone : 02-4450909Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6422217Call,Phone : 02-6422217Call,,
,"<span itemprop=""streetAddress"">Karama</span>","City : Dubai,  UAE ",50080,Phone : 04-3969726Call,Phone : 04-3969726Call,,
,"<span itemprop=""streetAddress"">Near Cargo Village, Airport Rd</span>","City : Dubai,  UAE ",60825,Phone : 04-2821718Call,Phone : 04-2821718Call,,
,"<span itemprop=""streetAddress"">Corniche Road</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6993333Call,Phone : 02-6993333Call,,
,"<span itemprop=""streetAddress"">Mubarak Centre, Al Aroba St</span>","City : Sharjah,  UAE ",,Phone : 06-5233505Call,Phone : 06-5233505Call,,
,"<span itemprop=""streetAddress"">The Res Tower 1, Burj Dubai</span>","City : Dubai,  UAE ",184512,Phone : 04-4205225Call,Phone : 04-4205225Call,,
,"<span itemprop=""streetAddress"">Dibba Wasit</span>","City : Dibba,  UAE ",11757,Phone : 09-2443644Call,Phone : 09-2443644Call,,
,"<span itemprop=""streetAddress"">Yas Viceroy, Yas Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6560000Call,Phone : 02-6560000Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",,Phone : 04-4507766Call,Phone : 04-4507766Call,,
,"<span itemprop=""streetAddress"">Abu Dhabi Mall</span>","City : Abu Dhabi,  UAE ",53128,Phone : 02-6450060Call,Phone : 02-6450060Call,,
,"<span itemprop=""streetAddress"">Near ADCB, Corniche Rd</span>","City : Sharjah,  UAE ",28977,Phone : 06-5741222Call,Phone : 06-5741222Call,,
,"<span itemprop=""streetAddress"">Al Dana Centre, Arjaan Food Court, Karama</span>","City : Dubai,  UAE ",44056,Phone : 04-2989142Call,Phone : 04-2989142Call,,
,"<span itemprop=""streetAddress"">Saadiyat Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6742221Call,Phone : 02-6742221Call,,
,"<span itemprop=""streetAddress"">Gold Souq, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2251827Call,Phone : 04-2251827Call,,
,"<span itemprop=""streetAddress"">TCA</span>","City : Abu Dhabi,  UAE ",4832,Phone : 02-6441551Call,Phone : 02-6441551Call,,
,"<span itemprop=""streetAddress"">Street 33C, Al Mussalla Road, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3525315Call,Phone : 04-3525315Call,,
,,"City : Dubai,  UAE ",,Phone : 04-2558787Call,Phone : 04-2558787Call,,
,"<span itemprop=""streetAddress"">Abu Shagara Park</span>","City : Sharjah,  UAE ",,Phone : 06-5344765Call,Phone : 06-5344765Call,,
,"<span itemprop=""streetAddress"">Farimont Hotel, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3545035Call,Phone : 04-3545035Call,,
,"<span itemprop=""streetAddress"">Khalifa St</span>","City : Abu Dhabi,  UAE ",27363,Phone : 02-6276442Call,Phone : 02-6276442Call,,
,"<span itemprop=""streetAddress"">Corniche</span>","City : Abu Dhabi,  UAE ",2698,Phone : 02-6273100Call,Phone : 02-6273100Call,,
,"<span itemprop=""streetAddress"">Deira</span>","City : Dubai,  UAE ",,Phone : 04-2689900Call,Phone : 04-2689900Call,,
,"<span itemprop=""streetAddress"">Najdah St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6333200Call,Phone : 02-6333200Call,,
,"<span itemprop=""streetAddress"">Muraqabat</span>","City : Dubai,  UAE ",,Phone : 04-2629139Call,Phone : 04-2629139Call,,
,"<span itemprop=""streetAddress"">Near Bank Of Baroda, Bur Dubai</span>","City : Dubai,  UAE ",3919,Phone : 04-3534870Call,Phone : 04-3534870Call,,
,"<span itemprop=""streetAddress"">Next to Mega Mall, Abu Shagara</span>","City : Sharjah,  UAE ",,Phone : 06-5734651Call,Phone : 06-5734651Call,,
,"<span itemprop=""streetAddress"">G 08, Dubai Gate, JLT</span>","City : Dubai,  UAE ",488183,Phone : 04-3629392Call,Phone : 04-3629392Call,,
,,"City : Dubai,  UAE ",,Phone : 04-2711357Call,Phone : 04-2711357Call,,
,"<span itemprop=""streetAddress"">Near National Paints. Muwailah Rd</span>","City : Sharjah,  UAE ",,Phone : 06-5427605Call,Phone : 06-5427605Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6446648Call,Phone : 02-6446648Call,,
,"<span itemprop=""streetAddress"">Murshid Bazar, Deira</span>","City : Dubai,  UAE ",112675,Phone : 04-2254443Call,Phone : 04-2254443Call,,
,"<span itemprop=""streetAddress"">Baharia St</span>","City : Abu Dhabi,  UAE ",73843,Phone : 02-6452008Call,Phone : 02-6452008Call,,
,"<span itemprop=""streetAddress"">Bhnd Al Massa Cinema, Buhairah Corniche</span>","City : Sharjah,  UAE ",38616,Phone : 06-5568282Call,Phone : 06-5568282Call,,
,"<span itemprop=""streetAddress"">Al Qusais</span>","City : Dubai,  UAE ",,Phone : 04-2611433Call,Phone : 04-2611433Call,,
,"<span itemprop=""streetAddress"">Le Meridian, Mina Seyahi</span>","City : Dubai,  UAE ",,Phone : 04-3993333Call,Phone : 04-3993333Call,,
,"<span itemprop=""streetAddress"">Rigga</span>","City : Dubai,  UAE ",,Phone : 04-2999990Call,Phone : 04-2999990Call,,
,"<span itemprop=""streetAddress"">Palm Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-4393548Call,Phone : 04-4393548Call,,
,"<span itemprop=""streetAddress"">Festival City</span>","City : Dubai,  UAE ",,Phone : 04-3387110Call,Phone : 04-3387110Call,,
,"<span itemprop=""streetAddress"">Yas Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6563000Call,Phone : 02-6563000Call,,
,"<span itemprop=""streetAddress"">Beach Rd, Jumeirah 3</span>","City : Dubai,  UAE ",,Phone : 04-3940408Call,Phone : 04-3940408Call,,
,"<span itemprop=""streetAddress"">Behind Adnoc Main Building, Salam Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6261415Call,Phone : 02-6261415Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",26500,Phone : 04-3994994Call,Phone : 04-3994994Call,,
,"<span itemprop=""streetAddress"">Al Muraqabat St</span>","City : Dubai,  UAE ",,Phone : 600 544745Call,Phone : 600 544745Call,,
,"<span itemprop=""streetAddress"">Bhnd Lulu, Al Barsha</span>","City : Dubai,  UAE ",38404,Phone : 04-3235265Call,Phone : 04-3235265Call,,
,"<span itemprop=""streetAddress"">Opp Lamcy Plaza, Oud Metha</span>","City : Dubai,  UAE ",,Phone : 04-3583962Call,Phone : 04-3583962Call,,
,,"City : Dubai,  UAE ",,Phone : 04-3397750Call,Phone : 04-3397750Call,,
,"<span itemprop=""streetAddress"">DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3551111Call,Phone : 04-3551111Call,,
,"<span itemprop=""streetAddress"">Emirates Palace, Al Ras Al Akhdar</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6907999Call,Phone : 02-6907999Call,,
,"<span itemprop=""streetAddress"">Satwa</span>","City : Dubai,  UAE ",,Phone : 04-3425272Call,Phone : 04-3425272Call,,
,"<span itemprop=""streetAddress"">Saadiyat Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4071234Call,Phone : 02-4071234Call,,
,"<span itemprop=""streetAddress"">Bidiya Area</span>","City : Dibba,  UAE ",18128,Phone : 09-2388563Call,Phone : 09-2388563Call,,
,"<span itemprop=""streetAddress"">Near Al Mamzar Centre, Abu Hail</span>","City : Dubai,  UAE ",24365,Phone : 04-3437674Call,Phone : 04-3437674Call,,
,"<span itemprop=""streetAddress"">Garhoud</span>","City : Dubai,  UAE ",6433,Phone : 04-2947744Call,Phone : 04-2947744Call,,
,"<span itemprop=""streetAddress"">Hamdan St</span>","City : Abu Dhabi,  UAE ",47401,Phone : 02-6763867Call,Phone : 02-6763867Call,,
,"<span itemprop=""streetAddress"">Inter Continental, Al Bateen</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6666888Call,Phone : 02-6666888Call,,
,"<span itemprop=""streetAddress"">Souk Madinat</span>","City : Dubai,  UAE ",,Phone : 04-4470227Call,Phone : 04-4470227Call,,
,"<span itemprop=""streetAddress"">Near Dolphin Hotel Apartments, Bur Dubai</span>","City : Dubai,  UAE ",43261,Phone : 04-3553611Call,Phone : 04-3553611Call,,
,"<span itemprop=""streetAddress"">Dusit Thani Dubai, Sh zayed road</span>","City : Dubai,  UAE ",,Phone : 04-3080000Call,Phone : 04-3080000Call,,
,"<span itemprop=""streetAddress"">The Galleria, Al Maryah Island</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6262131Call,Phone : 02-6262131Call,,
,"<span itemprop=""streetAddress"">Sh Zayed Rd</span>","City : Dubai,  UAE ",,Phone : 04-3430222Call,Phone : 04-3430222Call,,
,"<span itemprop=""streetAddress"">Al Manara, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-3219239Call,Phone : 04-3219239Call,,
,"<span itemprop=""streetAddress"">The Greens</span>","City : Dubai,  UAE ",,Phone : 04-3619292Call,Phone : 04-3619292Call,,
,"<span itemprop=""streetAddress"">Electra St</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6334342Call,Phone : 02-6334342Call,,
,"<span itemprop=""streetAddress"">Y Tower, Muroor Road, Al Nahyan</span>","City : Abu Dhabi,  UAE ",40437,Phone : 02-6584244Call,Phone : 02-6584244Call,,
,"<span itemprop=""streetAddress"">Near Abu Shagara Park</span>","City : Sharjah,  UAE ",,Phone : 06-5595643Call,Phone : 06-5595643Call,,
,"<span itemprop=""streetAddress"">Nakheel Rd, Deira</span>","City : Dubai,  UAE ",,Phone : 04-2212215Call,Phone : 04-2212215Call,,
,"<span itemprop=""streetAddress"">Al Wasl Road</span>","City : Dubai,  UAE ",,Phone : 04-3436533Call,Phone : 04-3436533Call,,
,,"City : Sharjah,  UAE ",2560,Phone : 06-5424667Call,Phone : 06-5424667Call,,
,"<span itemprop=""streetAddress"">Taj Dubai, Business Bay</span>","City : Dubai,  UAE ",,Phone : 04-5103100Call,Phone : 04-5103100Call,,
,"<span itemprop=""streetAddress"">R/A 8, Near Al Badia Rest, Jebel Ali Free Zone</span>","City : Jebel Ali,  UAE ",17280,Phone : 04-8836620Call,Phone : 04-8836620Call,,
,"<span itemprop=""streetAddress"">Ajman-Sharjah Rd</span>","City : Sharjah,  UAE ",4551,Phone : 06-7432136Call,Phone : 06-7432136Call,,
,"<span itemprop=""streetAddress"">Madinat Zayed</span>","City : Abu Dhabi,  UAE ",105329,Phone : 02-6332112Call,Phone : 02-6332112Call,,
,"<span itemprop=""streetAddress"">Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-3382277Call,Phone : 04-3382277Call,,
,"<span itemprop=""streetAddress"">Shabiya M 10, Musaffah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5550888Call,Phone : 02-5550888Call,,
,"<span itemprop=""streetAddress"">Fathima Bldg, Near Madina Mall, Muhaisnah</span>","City : Dubai,  UAE ",,Phone : 04-2344885Call,Phone : 04-2344885Call,,
,,"City : Dubai,  UAE ",,Phone : 04-2886658Call,Phone : 04-2886658Call,,
,"<span itemprop=""streetAddress"">Qusais</span>","City : Dubai,  UAE ",,Phone : 04-3709588Call,Phone : 04-3709588Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",,Phone : 04-5511576Call,Phone : 04-5511576Call,,
,"<span itemprop=""streetAddress"">Muroor Rd</span>","City : Abu Dhabi,  UAE ",37005,Phone : 02-6411660Call,Phone : 02-6411660Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-5080555Call,Phone : 02-5080555Call,,
,"<span itemprop=""streetAddress"">Madinat Jumeirah</span>","City : Dubai,  UAE ",,Phone : 04-4229904Call,Phone : 04-4229904Call,,
,"<span itemprop=""streetAddress"">Near Al Tayer Motors, Garhoud</span>","City : Dubai,  UAE ",7135,Phone : 04-2824800Call,Phone : 04-2824800Call,,
,"<span itemprop=""streetAddress"">Al Wahda St</span>","City : Sharjah,  UAE ",22196,Phone : 06-5531680Call,Phone : 06-5531680Call,,
,"<span itemprop=""streetAddress"">The Ritz Carlton, JBR</span>","City : Dubai,  UAE ",,Phone : 04-3186150Call,Phone : 04-3186150Call,,
,"<span itemprop=""streetAddress"">Golden Tulip Beach Resort, Ghantoot</span>","City : Abu Dhabi,  UAE ",,Phone : 056-1133400Call,Phone : 056-1133400Call,,
,"<span itemprop=""streetAddress"">Near National Cinema</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6780085Call,Phone : 02-6780085Call,,
,"<span itemprop=""streetAddress"">Al Markaziyah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6411500Call,Phone : 02-6411500Call,,
,"<span itemprop=""streetAddress"">Dubai Marina</span>","City : Dubai,  UAE ",66413,Phone : 04-4504262Call,Phone : 04-4504262Call,,
,"<span itemprop=""streetAddress"">The Walk</span>","City : Dubai,  UAE ",,Phone : 800 2627Call,Phone : 800 2627Call,,
,"<span itemprop=""streetAddress"">DIFC</span>","City : Dubai,  UAE ",,Phone : 04-3231833Call,Phone : 04-3231833Call,,
,,"City : Abu Dhabi,  UAE ",,Phone : 02-6456020Call,Phone : 02-6456020Call,,
,"<span itemprop=""streetAddress"">Near Choithram, Abu Shagarah</span>","City : Sharjah,  UAE ",,Phone : 06-5533827Call,Phone : 06-5533827Call,,
,"<span itemprop=""streetAddress"">Amman St, Al Nahda</span>","City : Dubai,  UAE ",234872,Phone : 04-2398901Call,Phone : 04-2398901Call,,
,"<span itemprop=""streetAddress"">Sh zayed road</span>","City : Dubai,  UAE ",,Phone : 04-3438311Call,Phone : 04-3438311Call,,
,"<span itemprop=""streetAddress"">Madinat Zayed Shopping Complex</span>","City : Abu Dhabi,  UAE ",27425,Phone : 02-6339497Call,Phone : 02-6339497Call,,
,"<span itemprop=""streetAddress"">Grand Shopping Mall, Al Quoz</span>","City : Dubai,  UAE ",72253,Phone : 04-3380807Call,Phone : 04-3380807Call,,
,"<span itemprop=""streetAddress"">Salam Street</span>","City : Abu Dhabi,  UAE ",,Phone : 02-4912128Call,Phone : 02-4912128Call,,
,"<span itemprop=""streetAddress"">Sh Tahnoon Rd</span>","City : Abu Dhabi,  UAE ",42776,Phone : 02-4434807Call,Phone : 02-4434807Call,,
,"<span itemprop=""streetAddress"">Shangri La, Al Maqta</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5098888Call,Phone : 02-5098888Call,,
,"<span itemprop=""streetAddress"">Sofitel Dubai, The Palm</span>","City : Dubai,  UAE ",,Phone : 04-4556677Call,Phone : 04-4556677Call,,
,"<span itemprop=""streetAddress"">Liwa</span>","City : Abu Dhabi,  UAE ",,Phone : 02-5629100Call,Phone : 02-5629100Call,,
,"<span itemprop=""streetAddress"">4th Floor, Al Mariah Cinema Complex, Hamdan St</span>","City : Abu Dhabi,  UAE ",52203,Phone : 02-6760444Call,Phone : 02-6760444Call,,
,"<span itemprop=""streetAddress"">Jumeirah At Etihad Towers</span>","City : Abu Dhabi,  UAE ",,Phone : 02-8115666Call,Phone : 02-8115666Call,,
,"<span itemprop=""streetAddress"">Habtoor City, Shk Zayed Road</span>","City : Dubai,  UAE ",,Phone : 04-4355577Call,Phone : 04-4355577Call,,
,"<span itemprop=""streetAddress"">Beach Rotana, Al Zahiyah</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6979011Call,Phone : 02-6979011Call,,
,"<span itemprop=""streetAddress"">Atlantis, The Palm</span>","City : Dubai,  UAE ",,Phone : 04-4262626Call,Phone : 04-4262626Call,,
,"<span itemprop=""streetAddress"">Al Riqqa St, Deira</span>","City : Dubai,  UAE ",14831,Phone : 04-2223011Call,Phone : 04-2223011Call,,
,"<span itemprop=""streetAddress"">Al Barsha 1</span>","City : Dubai,  UAE ",,Phone : 04-3996786Call,Phone : 04-3996786Call,,
,"<span itemprop=""streetAddress"">Opp Al Rolla Pharmacy, Rolla Rd, Bur Dubai</span>","City : Dubai,  UAE ",,Phone : 04-3939105Call,Phone : 04-3939105Call,,
,"<span itemprop=""streetAddress"">Tecom</span>","City : Dubai,  UAE ",,Phone : 04-4390305Call,Phone : 04-4390305Call,,
,"<span itemprop=""streetAddress"">Garhoud</span>","City : Dubai,  UAE ",60939,Phone : 04-2501550Call,Phone : 04-2501550Call,,
,"<span itemprop=""streetAddress"">Bhnd Post Office, Satwa</span>","City : Dubai,  UAE ",34541,Phone : 04-3420203Call,Phone : 04-3420203Call,,
,"<span itemprop=""streetAddress"">Kempenski Hotel, The Palm</span>","City : Dubai,  UAE ",,Phone : 04-4442501Call,Phone : 04-4442501Call,,
,"<span itemprop=""streetAddress"">Mall Of The Emirates</span>","City : Dubai,  UAE ",,Phone : 056-4040685Call,Phone : 056-4040685Call,,
,"<span itemprop=""streetAddress"">World Trade Centre Mall, Airport Road</span>","City : Abu Dhabi,  UAE ",,Phone : 02-6668066Call,Phone : 02-6668066Call,,
,"<span itemprop=""streetAddress"">Jumeirah Beach Road</span>","City : Dubai,  UAE ",,Phone : 055-7052130Call,Phone : 055-7052130Call,,
,"<span itemprop=""streetAddress"">Al Futtaim Rd</span>","City : Dubai,  UAE ",,Phone : 04-2336333Call,Phone : 04-2336333Call,,
,,"City : Dubai,  UAE ",49463,Phone : 04-3808848Call,Phone : 04-3808848Call,,
,"<span itemprop=""streetAddress"">DIFC</span>","City : Dubai,  UAE ",,Phone : 04-5148838Call,Phone : 04-5148838Call,,
,"<span itemprop=""streetAddress"">City Walk</span>","City : Dubai,  UAE ",,Phone : 04-3444459Call,Phone : 04-3444459Call,,
,"<span itemprop=""streetAddress"">Al Khan</span>","City : Sharjah,  UAE ",,Phone : 06-5546422Call,Phone : 06-5546422Call,,
